#OTU ID	d16s1r1	d16s2r1	d16s2r2	d17s1r1	d17s2r1	d17s2r2	d18s1r1	d18s2r1	d18s2r2	d19s1r1	d19s2r1	d19s2r2	d20s1r1	d20s2r1	d20s2r2	d21s1r1	d21s2r1	d21s2r2	d22s1r1	d22s2r1	d22s2r2	d23s1r1	d23s2r1	d23s2r2	d24s1r1	d24s2r1	d24s2r2	d25s1r1	d25s2r1	d25s2r2	d26s1r1	d26s2r1	d26s2r2	d28s1r1	d28s2r1	d28s2r2	d29s1r1	d29s2r1	d29s2r2	d30s10r1	d30s11r1	d30s12r1	d30s13r1	d30s14r1	d30s1r1	d30s2r10	d30s2r11	d30s2r12	d30s2r1	d30s2r2	d30s2r3	d30s2r4	d30s2r5	d30s2r6	d30s2r7	d30s2r8	d30s2r9	d30s3r1	d30s4r1	d30s5r1	d30s6r1	d30s7r1	d30s8r1	d30s9r1	d31s1r1	d31s2r1	d31s2r2	d32s1r1	d32s2r1	d32s2r2	d33s1r1	d33s2r1	d33s2r2	d34as1r1	d34as2r1	d34as2r2	d34bs1r1	d34bs2r1	d34bs2r2	d35s1r1	d35s2r1	d35s2r2	d42s1r1	d42s2r1	d42s2r2	d63s1r1	d63s2r1	d63s2r2	spike1	spike2	spike3	spike4	STD	STDspike	taxonomy
11	2308	1964	1163	4398	5589	6023	5555	5279	5582	2273	2573	2299	1690	1210	1310	3636	3439	3661	569	66	81	2088	1591	1896	3280	3207	3061	2130	1757	1759	531	657	596	2082	39	61	908	220	139	62	125	168	9	686	766	74	55	35	224	217	119	103	95	74	31	49	47	39	47	612	11	188	173	88	1515	1302	1371	178	316	301	278	15	5	11	3131	2985	2883	2759	2504	1339	1033	885	20	8	13	4	62	40	36	18	3	8	2	3	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Fusicatenibacter; 96%
12	7287	9047	8773	6338	6161	5339	2945	1653	1893	627	577	666	1521	1129	1146	3979	4825	3721	2686	3064	2908	1495	1365	1375	2495	2027	2114	2249	2718	2217	2215	2611	2392	2893	3505	3211	1866	2362	2300	2295	2342	2530	2440	1545	2152	2008	2121	2219	2357	1969	2605	2136	2382	2352	2305	2135	1733	2738	2829	1809	2345	2389	2443	2068	1085	1021	1051	630	469	541	676	518	470	951	1278	1160	2628	2596	2633	3837	2838	3074	4528	4134	4083	1430	1486	1250	58	19	3	7	3	7	"Root; 100%; Bacteria; 100%; ""Actinobacteria""; 100%; Actinobacteria; 100%; Actinobacteridae; 100%; Bifidobacteriales; 100%; Bifidobacteriaceae; 100%; Bifidobacterium; 100%"
13	0	0	0	2	0	0	3	3	6	289	198	219	4	108	85	60	61	77	1033	1714	1260	2	86	39	0	6	7	7	3	1	15	6	6	13	1004	1226	532	3701	4246	2065	1387	1325	3756	18	34	2444	2536	2373	1026	1173	1166	1489	1286	1709	2429	2370	1655	2817	2977	7	2938	958	1138	2311	4	3	5	1526	948	971	2167	5008	5013	3728	8	3	6	2	7	35	12	5	111	150	165	2328	597	474	20	12	1	5	0	3	Root; 100%; Bacteria; 100%; Firmicutes; 98%; Clostridia; 98%; Clostridiales; 98%; Ruminococcaceae; 94%; Clostridium IV; 68%
14	1466	2616	2084	2396	1227	1437	1279	1329	1018	826	827	909	1869	1883	1563	1500	1227	1210	275	233	213	810	530	617	685	876	710	1319	1218	1261	1485	2513	1770	717	336	299	710	642	509	446	568	804	117	1187	1608	356	287	320	405	493	487	512	407	472	354	325	241	321	447	1083	169	652	554	305	1779	2213	1526	940	852	960	566	380	340	145	813	863	1050	1476	1032	1349	1374	1322	468	634	560	519	416	543	17	9	0	1	0	1	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Erysipelotrichia; 100%; Erysipelotrichales; 100%; Erysipelotrichaceae; 100%; Clostridium XVIII; 75%
15	228	126	111	226	220	230	328	503	408	692	656	794	592	680	689	301	306	314	858	901	780	583	792	627	836	854	781	623	724	745	798	727	729	640	714	820	1380	1523	1661	1148	1086	993	1400	713	670	1150	1047	935	877	980	1152	991	1068	1122	1048	1203	1070	1375	1040	702	1608	1135	1265	1239	607	740	767	1100	998	1083	1295	1283	1254	2050	642	657	608	655	730	701	774	912	1665	1504	1522	1609	1175	1200	16	9	4	6	3	2	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Blautia; 100%
16	520	506	384	536	731	620	533	641	721	1099	1035	942	1049	1140	920	304	481	399	847	807	863	942	827	848	1420	1522	1170	1396	1554	1439	1269	1601	1478	1045	1200	1191	1084	1375	1150	1182	1078	1221	1224	1103	1001	949	822	830	993	877	954	908	1010	1188	959	913	845	993	973	874	1192	1133	1078	926	947	936	940	883	753	747	889	888	701	1125	1076	926	801	897	888	1018	1106	1100	688	885	751	525	379	455	17	13	1	5	1	1	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Coprococcus; 98%
17	510	854	1164	719	1136	1018	504	684	703	654	803	802	310	451	437	226	197	190	494	436	584	361	353	331	554	465	508	807	942	950	1254	1059	1198	936	1397	1493	876	421	473	946	1454	1591	677	2612	3120	753	804	709	1005	1068	1234	921	1182	1067	796	966	590	1221	857	2867	761	1564	1410	816	1022	1162	1189	480	290	334	751	504	519	521	490	486	771	740	766	290	295	299	590	473	548	153	215	211	10	8	3	0	0	1	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Bacilli; 100%; Lactobacillales; 100%; Streptococcaceae; 100%; Streptococcus; 100%
18	592	650	554	856	978	843	782	688	782	1035	1014	1111	1411	1543	1625	640	759	606	1113	1149	1200	1074	886	975	1410	1352	1347	1265	1491	1190	1438	1803	2053	930	1173	1053	1288	1232	1442	1266	1682	1438	1331	1270	1425	1155	1140	1047	1320	1223	1397	1262	1446	1310	1265	1164	999	1319	1254	1171	1264	1531	1579	1274	1664	1886	1775	1434	1342	1303	1110	1147	1042	1337	1504	1367	1283	1309	1331	1537	1320	1328	1113	1136	1176	1671	1787	1531	17	14	1	2	1	4	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 93%; Lachnospiracea_incertae_sedis; 92%
19	653	612	464	603	711	717	641	498	580	332	372	398	633	534	486	243	371	339	453	372	428	620	615	644	1276	1039	1093	1070	1103	1101	1438	1525	1803	762	1254	1147	476	397	383	432	508	578	363	1030	989	380	353	321	362	429	460	378	508	403	371	422	309	400	372	999	384	631	578	444	1229	1135	1420	860	824	829	795	601	524	963	1027	891	1012	948	1059	1085	1920	1951	737	768	760	521	521	584	10	4	4	7	0	2	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Ruminococcus2; 81%
20	564	439	439	446	254	240	303	364	402	658	567	621	609	412	476	792	596	560	798	1095	1022	288	289	276	238	282	310	323	362	346	682	679	682	820	545	488	803	822	923	996	986	885	1223	458	456	963	990	970	683	728	852	816	927	1034	1174	1141	858	1283	1293	422	1242	947	964	999	395	458	444	570	445	513	384	410	428	498	891	765	812	950	887	557	482	473	467	582	668	624	259	271	9	4	1	5	1	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 92%; Butyricicoccus; 82%
21	221	25	30	275	1027	913	478	810	686	754	593	510	281	245	326	787	534	513	444	359	454	272	229	238	793	666	676	350	349	495	558	306	296	975	289	273	291	35	30	383	457	491	268	699	801	241	258	247	376	370	458	333	397	327	231	275	209	281	335	735	152	517	519	395	561	831	687	534	487	564	328	332	319	164	608	496	532	475	567	305	708	716	367	448	471	522	89	61	8	6	0	1	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 97%; Clostridia; 81%; Clostridiales; 81%; Ruminococcaceae; 63%; Sporobacter; 33%
22	129	19	7	156	170	220	558	489	564	830	772	757	81	459	249	2038	1753	2018	1551	2098	1877	325	559	414	171	270	168	203	141	236	88	12	5	523	365	540	636	275	208	677	369	251	989	130	104	498	312	282	353	447	348	296	301	357	369	420	319	801	537	40	908	313	320	518	64	126	119	323	171	185	238	542	352	341	35	33	283	91	84	95	17	17	228	434	343	303	421	432	8	6	0	3	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Ruminococcus; 100%
23	237	243	185	319	251	200	258	348	467	602	604	590	456	530	447	151	240	230	273	295	323	304	224	230	397	489	495	495	527	509	417	617	738	333	359	269	397	577	486	340	371	370	264	490	476	280	258	226	332	303	286	301	382	328	277	271	251	244	287	514	275	395	384	285	480	550	596	670	635	639	537	481	405	366	336	318	229	363	355	417	541	396	261	258	238	277	380	375	4	8	0	1	1	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Dorea; 96%
24	449	164	77	112	131	98	1382	740	737	2937	2420	1527	509	314	243	2927	1754	1418	719	495	486	1434	1332	1173	14	12	15	155	93	213	12	3	1	394	109	82	231	109	145	279	95	51	478	118	33	55	54	52	97	41	110	52	49	32	45	34	47	375	113	41	138	29	48	162	541	1018	497	237	252	298	90	190	418	36	26	17	61	13	15	151	164	127	590	1056	1085	55	204	270	16	8	0	4	0	1	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 100%; ""Bacteroidia""; 100%; ""Bacteroidales""; 100%; Bacteroidaceae; 100%; Bacteroides; 100%"
25	723	484	438	317	286	314	332	257	298	401	449	507	568	786	767	1121	1257	1215	1010	1503	1367	472	519	467	263	232	255	161	206	196	167	273	233	183	272	271	589	400	432	387	407	333	410	396	384	351	368	270	305	358	308	360	359	362	364	362	345	301	400	358	418	459	454	431	170	210	194	397	392	371	284	335	322	203	123	119	82	104	116	118	238	224	52	82	62	12	11	22	10	6	2	3	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Lachnospiracea_incertae_sedis; 75%
26	2	0	1	0	0	0	0	2	0	3	4	6	0	11	11	8	31	24	2456	1956	1523	65	1822	932	1	0	0	8	2	2	1	0	4	4	561	626	28	183	261	7	38	17	5	0	4	17	16	20	24	27	16	14	20	23	17	14	9	10	18	2	2	23	22	13	0	0	0	103	48	44	889	1129	1543	638	2	0	0	0	1	0	1	0	3213	3318	3645	230	16	11	6	10	0	1	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 99%; Clostridia; 99%; Clostridiales; 98%; Ruminococcaceae; 96%; Clostridium IV; 66%
27	648	1217	1357	120	137	149	78	65	71	16	31	22	999	461	467	40	197	149	8	5	11	99	30	67	454	456	379	91	83	79	156	341	320	68	300	269	30	25	32	185	120	142	180	162	205	198	177	181	80	110	150	136	108	181	194	183	165	189	207	180	185	139	123	205	77	83	90	108	101	108	440	120	112	1239	96	96	797	902	844	742	1117	885	383	330	336	193	218	249	0	0	0	2	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Peptostreptococcaceae; 100%; Romboutsia; 96%
28	270	169	143	436	506	506	528	521	558	840	758	724	765	812	828	739	457	375	287	163	219	505	394	493	520	462	452	575	528	490	416	399	426	292	117	91	338	201	196	125	148	237	45	406	372	94	63	57	221	185	173	102	116	73	65	58	104	235	69	261	41	148	152	137	746	762	719	275	350	361	231	118	49	20	396	368	281	210	235	310	275	266	291	281	256	111	317	303	5	6	1	1	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Lachnospiracea_incertae_sedis; 92%
29	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	6	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	18	9504	6934	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Bacilli; 100%; Bacillales; 100%; Listeriaceae; 99%; Listeria; 99%
30	0	0	0	0	0	0	13	0	0	0	1	1	1	0	1	1	0	2	1	3	1	0	0	0	1	3	3	2	1	0	4	1	3	1	0	0	2	0	1	0	1	0	0	1	3	4	4	1	0	3	2	2	4	9	1	2	2	1	0	0	1	3	1	0	2	1	2	0	0	0	1	1	0	2	1	1	1	2	0	1	2	1	0	0	1	2	1	0	9	2	0	14	8524	7396	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Bacilli; 100%; Bacillales; 100%; Staphylococcaceae; 100%; Staphylococcus; 100%
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	8	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	15	9430	6486	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Bacilli; 100%; Bacillales; 98%; Bacillaceae 1; 88%; Bacillus; 87%
32	159	41	33	170	495	435	284	308	334	135	149	117	164	180	141	137	160	187	267	183	252	379	308	327	542	506	370	110	57	54	222	117	89	206	58	38	193	92	80	207	249	316	25	717	674	60	55	35	290	279	208	143	205	96	37	57	26	87	108	569	22	271	263	110	244	282	278	249	210	194	279	251	169	14	370	346	319	227	249	122	157	61	66	57	39	2	9	38	3	2	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Lachnospiracea_incertae_sedis; 98%
33	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	95	110	88	0	10	5	0	0	0	0	0	0	0	0	0	0	1	5	12	659	608	91	11	38	210	1	3	96	65	86	14	17	7	14	30	56	106	88	86	137	107	3	134	22	14	164	1	1	0	69	14	16	548	1622	1303	374	4	0	2	0	0	0	1	0	1547	1567	1285	1471	263	214	10	6	0	1	0	2	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Ruminococcus; 100%
34	141	57	28	220	253	270	331	381	436	291	257	238	135	199	200	339	245	305	311	394	381	312	261	289	275	231	236	291	174	205	107	55	64	220	132	139	168	164	194	137	133	82	139	152	102	98	99	90	90	98	113	96	132	128	89	127	70	104	120	71	97	104	125	117	130	160	178	318	301	343	358	318	289	128	128	130	227	170	201	100	71	50	232	142	222	186	107	83	2	2	0	2	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 99%; Lachnospiracea_incertae_sedis; 68%
35	232	130	118	331	369	404	257	321	334	242	252	289	378	450	463	75	94	81	182	188	170	205	149	211	480	376	487	222	199	186	133	169	172	55	31	25	26	26	26	28	44	30	8	35	36	18	13	6	35	30	32	28	33	24	13	12	9	18	14	31	9	39	35	22	18	17	24	31	46	61	38	30	30	37	48	43	46	33	34	23	14	20	531	428	506	986	766	606	5	2	0	1	1	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Faecalibacterium; 77%
36	144	64	83	165	5	5	12	6	5	1	7	10	0	1	0	4	3	7	3	0	1	0	0	1	0	0	0	1	4	8	0	0	2	1	0	0	15	13	17	7	4	4	6	0	0	7	3	8	3	3	3	2	3	4	3	4	1	9	3	0	6	3	1	5	1	14	5	0	0	0	0	3	1	0	0	1	0	1	1	3	1	1	0	2	7	1	4	0	7	3	1	12	6199	4261	"Root; 100%; Bacteria; 100%; ""Proteobacteria""; 100%; Gammaproteobacteria; 100%; ""Enterobacteriales""; 100%; Enterobacteriaceae; 100%; Escherichia/Shigella; 79%"
37	329	92	116	49	10	16	13	7	12	5	2	7	33	40	51	1	1	5	8	6	5	5	6	15	5	4	7	2	5	2	5	7	5	5	4	6	1	3	0	6	14	6	2	14	13	5	3	3	4	5	4	10	8	8	2	6	2	1	5	6	3	15	8	3	13	16	11	7	2	2	62	22	25	57	30	21	35	42	45	30	18	18	2	1	2	1	2	0	8	3	1	13	5974	4292	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Bacilli; 100%; Lactobacillales; 100%; Enterococcaceae; 100%; Enterococcus; 100%
38	540	418	376	288	284	353	357	671	672	789	712	677	363	227	181	349	315	378	392	244	217	485	388	371	127	128	101	221	130	150	379	305	218	145	141	93	152	179	175	289	349	322	394	423	346	331	297	316	253	232	300	246	245	225	156	185	172	360	279	516	374	231	269	427	149	241	255	605	480	365	278	340	167	353	443	430	301	253	244	169	414	355	96	138	144	145	46	49	5	5	1	2	1	1	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Ruminococcus2; 42%
39	65	27	35	7	41	22	75	22	28	7	0	9	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	0	0	0	4	1	4	0	0	2	1	1	0	6	2	2	0	2	1	2	1	3	2	2	1	1	2	2	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	4	6	1	6	2	5	5	1	0	3	2	1	15	1	2	12	6798	4870	"Root; 100%; Bacteria; 100%; ""Proteobacteria""; 100%; Gammaproteobacteria; 100%; ""Enterobacteriales""; 100%; Enterobacteriaceae; 100%; Salmonella; 98%"
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	6	5204	4785	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Bacilli; 100%; Lactobacillales; 100%; Lactobacillaceae; 100%; Lactobacillus; 100%
41	54	8	7	34	12	15	312	140	161	368	310	282	77	159	89	636	667	543	233	300	189	415	397	381	7	2	1	37	23	23	6	0	1	100	114	83	64	165	163	59	34	21	220	16	7	30	27	27	18	12	22	13	15	27	24	22	22	105	45	7	83	11	13	84	359	195	180	93	78	99	84	146	253	29	1	5	36	2	6	95	61	50	384	593	545	240	420	364	4	1	0	1	0	0	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 100%; ""Bacteroidia""; 100%; ""Bacteroidales""; 100%; Bacteroidaceae; 100%; Bacteroides; 100%"
42	46	0	1	119	103	83	147	94	110	66	80	91	29	59	62	48	83	72	65	47	51	89	70	70	171	179	175	110	145	92	175	181	147	92	47	47	121	99	75	139	204	140	63	85	110	120	139	110	172	162	183	159	116	162	143	133	96	109	192	76	48	129	157	122	138	152	131	236	165	218	264	168	183	56	67	74	57	42	38	145	68	77	166	167	190	64	95	80	6	0	1	0	0	0	"Root; 100%; Bacteria; 100%; ""Actinobacteria""; 57%; Actinobacteria; 57%; Coriobacteridae; 54%; Coriobacteriales; 54%; ""Coriobacterineae""; 54%; Coriobacteriaceae; 54%; Denitrobacterium; 24%"
